"genre","us_creator","type","duration","female_percent","age_13_17","age_18_24","age_25_34","age_35_44","age_45_54","age_55_plus","us_audience","sponsored","monthly_views_growth","followers","uploads_90d","month","dow","live","views"
"Entertainment",1,"media company",0.9,61.873962,1.4062786,21.234766,33.10952,22.061457,11.82526,10.36272,59.747547,0,0.0071299383,3225.328,9,3,5,0,126.888
"Entertainment",0,"media company",2.8,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,2,5,0,22.205
"Entertainment",1,"media company",0.5,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,7,2,0,10.615
"Entertainment",0,"media company",2.4,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.043697827,84.772,1976,5,6,0,53.788
"People & Blogs",0,"influencer",0.25,10.955563,12.947329,42.686913,29.634592,6.169991,3.8022358,4.758938,10.432212,0,0.012927582,2508.49,46,3,3,0,271.766
"Sports",1,"media company",0.95,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,9,4,0,110.847
"Entertainment",0,"media company",2.0166667,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,1,0.13280946,240.71,285,3,2,0,74.376
"Entertainment",0,"media company",0.7,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.043697827,84.772,1976,5,0,0,52.783
"Entertainment",0,"media company",0.6,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,4,1,0,63.951
"Sports",1,"media company",0.6,10.195684,8.936993,35.938076,29.820343,10.013515,6.872728,8.4183445,47.65,0,0.025362939,2272.45,972,7,1,0,75.923
"Entertainment",1,"media company",0.8333333,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,1,0.011966229,461.804,226,9,0,0,38.372
"Entertainment",1,"media company",2.7,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,9,3,0,19.363
"Entertainment",1,"media company",0.45,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,9,4,0,46.442
"Sports",1,"media company",24.35,10.195684,8.936993,35.938076,29.820343,10.013515,6.872728,8.4183445,47.65,0,0.025362939,2272.45,972,7,2,0,15.353
"Entertainment",0,"media company",0.35,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,4,0,0,10.924
"Entertainment",1,"media company",1.7,40.011436,2.1576266,24.159645,30.386677,17.832863,13.421588,12.041601,72.83951,0,0.016077036,270.083,204,7,4,0,9.105
"Sports",1,"media company",0.8666667,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,10,3,0,293.452
"Entertainment",1,"media company",0.2,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,9,6,0,10.284
"People & Blogs",0,"influencer",0.31666666,10.955563,12.947329,42.686913,29.634592,6.169991,3.8022358,4.758938,10.432212,0,0.012927582,2508.49,46,5,2,0,423.37
"Sports",1,"media company",16.133333,10.195684,8.936993,35.938076,29.820343,10.013515,6.872728,8.4183445,47.65,0,0.025362939,2272.45,972,8,6,0,17.861
"Entertainment",0,"media company",0.78333336,25.80154,3.9943416,28.953794,35.045433,16.029612,7.9315133,8.045307,8.016482,0,0.026177077,1171.327,261,8,4,0,56.172
"Sports",1,"media company",20.416666,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,11,3,0,275.948
"Sports",1,"media company",1.0666667,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,11,5,0,64.04
"Sports",1,"media company",3.55,10.195684,8.936993,35.938076,29.820343,10.013515,6.872728,8.4183445,47.65,0,0.025362939,2272.45,972,8,5,0,68.867
"Entertainment",0,"media company",10.183333,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,5,0,0,22.893
"Entertainment",1,"media company",0.98333335,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,10,6,0,43.775
"Entertainment",1,"media company",2.7,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,10,3,0,19.255
"Entertainment",1,"media company",0.8333333,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,10,1,0,30.856
"Sports",1,"media company",1.0666667,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,12,4,0,329.012
"Entertainment",1,"media company",1.7666667,41.467705,9.793074,42.18559,31.867767,8.732419,3.7397358,3.681414,46.50821,0,0.031739768,3813.333,391,4,0,0,276.83
"Sports",1,"media company",0.7,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,12,5,0,65.707
"Entertainment",0,"media company",1.1,25.80154,3.9943416,28.953794,35.045433,16.029612,7.9315133,8.045307,8.016482,0,0.026177077,1171.327,261,10,1,0,75.479
